,Country,GDP_USD_millions,GDP_USD_billions
0,United States,28781083.0,28781.08
1,China,18532633.0,18532.63
2,Germany,4591100.0,4591.1
3,Japan,4110452.0,4110.45
4,India,3937011.0,3937.01
5,United Kingdom,3495261.0,3495.26
6,France,3130014.0,3130.01
7,Brazil,2331391.0,2331.39
8,Italy,2328028.0,2328.03
9,Canada,2242182.0,2242.18
10,Russia,2056844.0,2056.84
11,Mexico,2017025.0,2017.02
12,Australia,1790348.0,1790.35
13,South Korea,1760947.0,1760.95
14,Spain,1647114.0,1647.11
15,Indonesia,1475690.0,1475.69
16,Netherlands,1142513.0,1142.51
17,Turkey,1113561.0,1113.56
18,Saudi Arabia,1106015.0,1106.02
19,Switzerland,938458.0,938.46
20,Poland,844623.0,844.62
21,Taiwan,802958.0,802.96
22,Belgium,655192.0,655.19
23,Sweden,623048.0,623.05
24,Argentina,604260.0,604.26
25,Ireland,564020.0,564.02
26,Thailand,548890.0,548.89
27,Austria,540887.0,540.89
28,Israel,530664.0,530.66
29,United Arab Emirates,527796.0,527.8
30,Norway,526951.0,526.95
31,Singapore,525228.0,525.23
32,Philippines,471516.0,471.52
33,Vietnam,465814.0,465.81
34,Iran,464181.0,464.18
35,Bangladesh,455162.0,455.16
36,Malaysia,445519.0,445.52
37,Denmark,409989.0,409.99
38,Hong Kong,406775.0,406.78
39,Colombia,386076.0,386.08
40,South Africa,373233.0,373.23
41,Romania,369971.0,369.97
42,Egypt,347594.0,347.59
43,Pakistan,338237.0,338.24
44,Chile,333760.0,333.76
45,Czech Republic,325880.0,325.88
46,Finland,308055.0,308.06
47,Portugal,298949.0,298.95
48,Kazakhstan,296740.0,296.74
49,Peru,282458.0,282.46
50,Algeria,266780.0,266.78
51,Iraq,265894.0,265.89
52,New Zealand,257625.0,257.62
53,Nigeria,252738.0,252.74
54,Greece,250276.0,250.28
55,Qatar,244686.0,244.69
56,Hungary,223413.0,223.41
57,Ethiopia,205130.0,205.13
58,Ukraine,188943.0,188.94
59,Kuwait,160397.0,160.4
60,Morocco,152377.0,152.38
61,Slovakia,140808.0,140.81
62,Dominican Republic,127356.0,127.36
63,Ecuador,121592.0,121.59
64,Puerto Rico,117763.0,117.76
65,Guatemala,110035.0,110.04
66,Oman,108927.0,108.93
67,Bulgaria,107933.0,107.93
68,Kenya,104001.0,104.0
69,Venezuela,102328.0,102.33
70,Uzbekistan,97956.0,97.96
71,Costa Rica,96058.0,96.06
72,Angola,92123.0,92.12
73,Luxembourg,88556.0,88.56
74,Croatia,88076.0,88.08
75,Panama,87347.0,87.35
76,Ivory Coast,86911.0,86.91
77,Uruguay,82605.0,82.6
78,Turkmenistan,81896.0,81.9
79,Serbia,81873.0,81.87
80,Lithuania,81170.0,81.17
81,Tanzania,79605.0,79.6
82,Azerbaijan,78749.0,78.75
83,Ghana,75244.0,75.24
84,Sri Lanka,74846.0,74.85
85,DR Congo,73761.0,73.76
86,Slovenia,72101.0,72.1
87,Belarus,69048.0,69.05
88,Myanmar,68006.0,68.01
89,Uganda,56310.0,56.31
90,Tunisia,54708.0,54.71
91,Macau,54677.0,54.68
92,Jordan,53570.0,53.57
93,Cameroon,53205.0,53.2
